,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
0,bac,1/15/2010,3.0,-0.02514,0.1821,-0.38173,0.85192,-0.25389,-0.01634,0.19272,-20.0,0.14898,20.0,0.09307
1,bac,1/29/2010,3.0,-0.02194,0.21265,-0.79513,1.61552,-0.28826,1e-05,0.21786,-20.0,0.1675,20.0,0.12009
2,bac,2/12/2010,3.0,-0.01699,0.21625,-0.86181,1.83248,-0.2867,0.0072,0.22358,-20.0,0.16404,20.0,0.12713
3,bac,2/26/2010,3.0,-0.00965,0.17893,-0.70108,1.40641,-0.2357,0.00776,0.19373,-20.0,0.12882,20.0,0.09233
4,bac,3/15/2010,3.0,6e-05,0.17357,-0.71889,1.6348,-0.21657,0.01649,0.19608,-20.0,0.11325,20.0,0.09545
5,bac,3/31/2010,3.0,0.00241,0.15238,-0.58193,1.40516,-0.18687,0.01348,0.17861,-20.0,0.08916,20.0,0.07492
6,bac,4/15/2010,3.0,-0.01265,0.16015,-0.61754,1.30568,-0.21398,0.00114,0.17062,-20.0,0.11209,20.0,0.06749
7,bac,4/30/2010,3.0,-0.0142,0.20021,-0.85969,1.70329,-0.2694,0.01122,0.20614,-20.0,0.15161,20.0,0.10712
8,bac,5/14/2010,3.0,-0.00888,0.25278,-1.19664,2.43764,-0.32975,0.03305,0.25618,-20.0,0.17549,20.0,0.17473
9,bac,5/28/2010,3.0,-0.00379,0.22524,-1.00707,2.60994,-0.27815,0.02123,0.24541,-20.0,0.15617,20.0,0.15519
10,bac,6/15/2010,3.0,-0.00196,0.19965,-0.85431,2.16531,-0.24754,0.01816,0.22157,-20.0,0.13641,20.0,0.12558
11,bac,6/30/2010,3.0,0.00392,0.22711,-0.69315,1.5618,-0.28013,0.02533,0.26039,-20.0,0.15819,20.0,0.17021
12,bac,7/15/2010,3.0,-0.01546,0.20662,-1.01473,2.2495,-0.2725,0.01245,0.20803,-20.0,0.15313,20.0,0.10984
13,bac,7/30/2010,3.0,-0.01135,0.19294,-0.8869,2.15455,-0.24798,0.00927,0.20191,-20.0,0.13667,20.0,0.10214
14,bac,8/13/2010,3.0,-0.00788,0.2011,-0.95624,2.54023,-0.25225,0.01455,0.21191,-20.0,0.13938,20.0,0.11412
15,bac,8/31/2010,3.0,-0.00579,0.20894,-0.84321,1.96565,-0.26611,0.01743,0.22493,-20.0,0.14857,20.0,0.12931
16,bac,9/15/2010,3.0,-0.00186,0.18931,-0.62182,1.29514,-0.24036,0.01466,0.21497,-20.0,0.13241,20.0,0.11783
17,bac,9/30/2010,3.0,0.00175,0.1939,-0.42492,1.15008,-0.23989,0.01316,0.22749,-20.0,0.1324,20.0,0.13047
18,bac,10/15/2010,3.0,-0.0183,0.2229,-0.94508,2.06935,-0.2938,0.00873,0.2257,-20.0,0.16803,20.0,0.13012
19,bac,10/29/2010,3.0,-0.01204,0.21468,-0.98498,2.33976,-0.27555,0.01407,0.22176,-20.0,0.15441,20.0,0.12566
20,bac,11/15/2010,3.0,-0.00892,0.19201,-0.84521,2.3893,-0.23988,0.00829,0.20467,-20.0,0.13164,20.0,0.10514
21,bac,11/30/2010,3.0,-0.00816,0.22271,-0.792,1.76855,-0.28636,0.01566,0.23979,-20.0,0.16217,20.0,0.14525
22,bac,12/15/2010,3.0,-0.00272,0.19239,-0.54779,1.31126,-0.24223,0.0111,0.21929,-20.0,0.13408,20.0,0.12143
23,bac,12/31/2010,3.0,-0.00194,0.18014,-0.73097,1.70072,-0.22331,0.01283,0.20568,-20.0,0.11847,20.0,0.10658
